400 79800
1 2 185
1 3 375
1 4 211
1 5 412
1 6 205
1 7 379
1 8 54
1 9 19
1 10 236
1 11 236
1 12 77
1 13 300
1 14 271
1 15 244
1 16 377
1 17 414
1 18 224
1 19 122
1 20 335
1 21 102
1 22 203
1 23 393
1 24 111
1 25 128
1 26 217
1 27 94
1 28 288
1 29 364
1 30 365
1 31 334
1 32 218
1 33 297
1 34 361
1 35 486
1 36 434
1 37 374
1 38 202
1 39 166
1 40 272
1 41 208
1 42 301
1 43 182
1 44 224
1 45 240
1 46 68
1 47 134
1 48 160
1 49 391
1 50 450
1 51 446
1 52 256
1 53 413
1 54 432
1 55 122
1 56 369
1 57 253
1 58 331
1 59 318
1 60 308
1 61 370
1 62 198
1 63 395
1 64 411
1 65 333
1 66 73
1 67 305
1 68 106
1 69 414
1 70 323
1 71 204
1 72 173
1 73 374
1 74 230
1 75 236
1 76 315
1 77 391
1 78 114
1 79 340
1 80 349
1 81 404
1 82 157
1 83 321
1 84 242
1 85 316
1 86 281
1 87 331
1 88 211
1 89 105
1 90 153
1 91 362
1 92 302
1 93 175
1 94 369
1 95 34
1 96 65
1 97 218
1 98 119
1 99 246
1 100 246
1 101 40
1 102 233
1 103 265
1 104 313
1 105 517
1 106 263
1 107 378
1 108 248
1 109 494
1 110 393
1 111 209
1 112 171
1 113 37
1 114 323
1 115 347
1 116 363
1 117 437
1 118 384
1 119 374
1 120 164
1 121 302
1 122 213
1 123 41
1 124 284
1 125 132
1 126 30
1 127 391
1 128 297
1 129 117
1 130 369
1 131 171
1 132 336
1 133 226
1 134 421
1 135 243
1 136 199
1 137 295
1 138 361
1 139 138
1 140 395
1 141 315
1 142 488
1 143 310
1 144 243
1 145 119
1 146 216
1 147 288
1 148 292
1 149 290
1 150 201
1 151 181
1 152 251
1 153 403
1 154 508
1 155 430
1 156 29
1 157 146
1 158 290
1 159 322
1 160 131
1 161 285
1 162 149
1 163 280
1 164 344
1 165 17
1 166 460
1 167 291
1 168 61
1 169 213
1 170 153
1 171 217
1 172 361
1 173 366
1 174 254
1 175 415
1 176 327
1 177 386
1 178 300
1 179 417
1 180 179
1 181 292
1 182 313
1 183 403
1 184 354
1 185 394
1 186 280
1 187 360
1 188 121
1 189 167
1 190 258
1 191 145
1 192 219
1 193 416
1 194 195
1 195 295
1 196 101
1 197 452
1 198 89
1 199 175
1 200 140
1 201 26
1 202 193
1 203 362
1 204 454
1 205 327
1 206 359
1 207 375
1 208 398
1 209 292
1 210 290
1 211 115
1 212 256
1 213 409
1 214 212
1 215 378
1 216 298
1 217 281
1 218 217
1 219 367
1 220 148
1 221 225
1 222 428
1 223 133
1 224 246
1 225 120
1 226 490
1 227 421
1 228 42
1 229 119
1 230 193
