400 79800
1 2 218
1 3 69
1 4 265
1 5 258
1 6 288
1 7 272
1 8 240
1 9 367
1 10 253
1 11 537
1 12 378
1 13 320
1 14 323
1 15 135
1 16 226
1 17 299
1 18 232
1 19 222
1 20 322
1 21 271
1 22 161
1 23 97
1 24 280
1 25 203
1 26 204
1 27 131
1 28 331
1 29 343
1 30 192
1 31 89
1 32 343
1 33 394
1 34 213
1 35 101
1 36 372
1 37 441
1 38 275
1 39 155
1 40 139
1 41 419
1 42 340
1 43 335
1 44 260
1 45 186
1 46 115
1 47 89
1 48 251
1 49 439
1 50 377
1 51 304
1 52 138
1 53 229
1 54 399
1 55 404
1 56 365
1 57 167
1 58 235
1 59 39
1 60 250
1 61 463
1 62 308
1 63 298
1 64 199
1 65 161
1 66 22
1 67 340
1 68 141
1 69 439
1 70 475
1 71 152
1 72 321
1 73 105
1 74 232
1 75 270
1 76 240
1 77 470
1 78 257
1 79 496
1 80 256
1 81 318
1 82 284
1 83 382
1 84 472
1 85 446
1 86 425
1 87 264
1 88 352
1 89 185
1 90 133
1 91 287
1 92 324
1 93 321
1 94 362
1 95 388
1 96 151
1 97 172
1 98 202
1 99 154
1 100 72
1 101 187
1 102 236
1 103 188
1 104 276
1 105 188
1 106 236
1 107 132
1 108 319
1 109 269
1 110 78
1 111 243
1 112 376
1 113 148
1 114 474
1 115 76
1 116 459
1 117 86
1 118 158
1 119 275
1 120 492
1 121 405
1 122 267
1 123 447
1 124 253
1 125 354
1 126 208
1 127 248
1 128 252
1 129 274
1 130 371
1 131 279
1 132 512
1 133 292
1 134 304
1 135 241
1 136 243
1 137 242
1 138 284
1 139 179
1 140 421
1 141 350
1 142 410
1 143 338
1 144 83
1 145 271
1 146 393
1 147 323
1 148 348
1 149 412
1 150 339
1 151 237
1 152 302
1 153 475
1 154 338
1 155 490
1 156 329
1 157 289
1 158 343
1 159 335
1 160 279
1 161 196
1 162 362
1 163 124
1 164 236
1 165 295
1 166 360
1 167 220
1 168 272
1 169 194
1 170 205
1 171 213
1 172 112
1 173 301
1 174 416
1 175 302
1 176 375
1 177 272
1 178 311
1 179 111
1 180 202
1 181 190
1 182 301
1 183 278
1 184 316
1 185 339
1 186 267
1 187 411
1 188 234
1 189 352
1 190 189
1 191 327
1 192 253
1 193 266
1 194 401
1 195 191
1 196 218
1 197 296
1 198 368
1 199 233
1 200 291
1 201 86
1 202 427
1 203 358
1 204 287
1 205 377
1 206 309
1 207 88
1 208 104
1 209 330
1 210 170
1 211 126
1 212 210
1 213 376
1 214 393
1 215 496
1 216 259
1 217 243
1 218 220
1 219 451
1 220 383
1 221 462
1 222 60
1 223 339
1 224 295
1 225 305
1 226 215
1 227 197
1 228 357
1 229 392
1 230 366
1 231 77
1 232 233
1 233 194
1 234 336
1 235 80
1 236 344
1 237 26
1 238 289
1 239 313
1 240 321
1 241 211
1 242 423
1 243 314
1 244 422
