300 44850
1 2 388
1 3 510
1 4 369
1 5 114
1 6 371
1 7 237
1 8 481
1 9 168
1 10 76
1 11 91
1 12 107
1 13 189
1 14 451
1 15 517
1 16 275
1 17 239
1 18 553
1 19 91
1 20 396
1 21 157
1 22 148
1 23 135
1 24 535
1 25 24
1 26 92
1 27 102
1 28 475
1 29 448
1 30 489
1 31 501
1 32 286
1 33 347
1 34 373
1 35 138
1 36 348
1 37 119
1 38 73
1 39 324
1 40 520
1 41 305
1 42 314
1 43 571
1 44 103
1 45 244
1 46 368
1 47 152
1 48 436
1 49 593
1 50 209
1 51 307
1 52 304
1 53 134
1 54 309
1 55 222
1 56 317
1 57 279
1 58 42
1 59 89
1 60 509
1 61 299
1 62 308
1 63 195
1 64 499
1 65 416
1 66 351
1 67 82
1 68 227
1 69 155
1 70 351
1 71 311
1 72 426
1 73 209
1 74 455
1 75 256
1 76 163
1 77 189
1 78 130
1 79 272
1 80 464
1 81 53
1 82 312
1 83 263
1 84 486
1 85 319
1 86 46
1 87 371
1 88 288
1 89 440
1 90 139
1 91 417
1 92 409
1 93 362
1 94 256
1 95 486
1 96 517
1 97 520
1 98 174
1 99 233
1 100 425
1 101 507
1 102 392
1 103 170
1 104 295
1 105 278
1 106 170
1 107 342
1 108 334
1 109 254
1 110 320
1 111 176
1 112 442
1 113 541
1 114 450
1 115 243
1 116 104
1 117 69
1 118 290
1 119 388
1 120 305
1 121 207
1 122 140
1 123 472
1 124 485
1 125 384
1 126 218
1 127 507
1 128 505
1 129 399
1 130 57
1 131 404
1 132 132
1 133 169
1 134 519
1 135 553
1 136 272
1 137 233
1 138 72
1 139 56
1 140 223
1 141 270
1 142 276
1 143 117
1 144 373
1 145 388
1 146 261
1 147 234
1 148 455
1 149 404
1 150 268
1 151 142
1 152 301
1 153 535
1 154 261
1 155 230
1 156 143
1 157 304
1 158 298
1 159 201
1 160 302
1 161 236
1 162 579
1 163 226
1 164 246
1 165 176
1 166 542
1 167 144
1 168 383
1 169 228
1 170 503
1 171 507
1 172 287
1 173 520
1 174 542
1 175 529
1 176 273
1 177 211
1 178 520
1 179 533
1 180 219
1 181 374
1 182 341
1 183 412
1 184 522
1 185 147
1 186 560
1 187 359
1 188 71
1 189 236
1 190 126
1 191 459
1 192 379
1 193 91
1 194 120
1 195 538
1 196 172
1 197 372
1 198 346
1 199 147
1 200 154
1 201 189
1 202 250
1 203 118
1 204 139
1 205 446
1 206 509
1 207 128
1 208 406
1 209 157
1 210 476
1 211 341
1 212 364
1 213 214
1 214 97
1 215 485
1 216 545
1 217 232
1 218 41
1 219 326
1 220 498
1 221 535
1 222 141
1 223 287
1 224 366
1 225 286
1 226 379
1 227 394
1 228 496
1 229 608
1 230 320
1 231 220
1 232 586
1 233 479
1 234 424
1 235 291
1 236 167
1 237 269
1 238 55
1 239 387
1 240 220
1 241 587
1 242 154
1 243 221
1 244 330
1 245 282
1 246 190
1 247 78
1 248 95
1 249 435
1 250 453
1 251 344
1 252 341
1 253 173
1 254 61
1 255 69
1 256 238
1 257 374
1 258 236
1 259 351
1 260 55
1 261 396
1 262 182
1 263 130
1 264 174
1 265 221
1 266 262
1 267 279
