100 4950
1 2 187
1 3 81
1 4 429
1 5 522
1 6 165
1 7 374
1 8 65
1 9 279
1 10 354
1 11 217
1 12 309
1 13 331
1 14 265
1 15 45
1 16 283
1 17 314
1 18 496
1 19 201
1 20 473
1 21 341
1 22 428
1 23 334
1 24 203
1 25 403
1 26 548
1 27 89
1 28 508
1 29 581
1 30 140
1 31 528
1 32 149
1 33 314
1 34 528
1 35 120
1 36 358
1 37 475
1 38 85
1 39 289
1 40 32
1 41 120
1 42 73
1 43 283
1 44 451
1 45 434
1 46 86
1 47 268
1 48 412
1 49 414
1 50 479
1 51 202
1 52 521
1 53 409
1 54 194
1 55 457
1 56 260
1 57 490
1 58 312
1 59 516
1 60 514
1 61 234
1 62 330
1 63 302
1 64 457
1 65 337
1 66 32
1 67 140
1 68 88
1 69 498
1 70 21
1 71 272
1 72 98
1 73 383
1 74 221
1 75 324
1 76 154
1 77 465
1 78 358
1 79 275
1 80 309
1 81 547
1 82 593
1 83 514
1 84 68
1 85 382
1 86 164
1 87 477
1 88 304
1 89 163
1 90 388
1 91 283
1 92 324
1 93 268
1 94 188
1 95 523
1 96 412
1 97 185
1 98 303
1 99 153
1 100 272
2 3 262
2 4 338
2 5 439
2 6 33
2 7 425
2 8 124
2 9 426
2 10 169
2 11 46
2 12 273
2 13 389
2 14 295
2 15 179
2 16 307
2 17 178
2 18 469
2 19 362
2 20 431
2 21 296
2 22 311
2 23 472
2 24 273
2 25 334
2 26 463
2 27 242
2 28 415
2 29 481
2 30 97
2 31 424
2 32 246
2 33 191
2 34 464
2 35 303
2 36 336
2 37 394
2 38 181
2 39 420
2 40 156
2 41 86
2 42 131
2 43 312
2 44 313
2 45 326
2 46 213
2 47 165
2 48 297
2 49 369
2 50 442
2 51 23
2 52 347
2 53 429
2 54 52
2 55 376
2 56 416
2 57 464
2 58 397
2 59 349
2 60 364
2 61 257
2 62 451
2 63 356
2 64 341
2 65 484
2 66 154
2 67 192
2 68 142
2 69 459
2 70 205
2 71 423
2 72 267
2 73 249
2 74 193
2 75 410
2 76 118
2 77 428
2 78 241
2 79 92
2 80 363
2 81 418
2 82 514
2 83 390
2 84 231
2 85 402
2 86 71
2 87 370
2 88 236
2 89 252
2 90 314
2 91 286
2 92 170
2 93 388
2 94 32
2 95 354
2 96 250
2 97 68
2 98 298
2 99 117
2 100 176
3 4 455
3 5 542
3 6 236
3 7 342
3 8 145
3 9 206
3 10 425
3 11 287
3 12 323
3 13 298
3 14 254
3 15 86
3 16 272
3 17 365
3 18 492
3 19 125
3 20 477
3 21 354
3 22 466
3 23 263
3 24 183
3 25 422
3 26 567
3 27 50
3 28 532
3 29 605
3 30 221
3 31 556
3 32 129
3 33 360
3 34 539
3 35 41
3 36 360
3 37 495
3 38 107
3 39 223
3 40 113
3 41 185
3 42 154
3 43 270
3 44 496
3 45 468
3 46 80
3 47 313
3 48 449
3 49 422
3 50 480
3 51 279
3 52 582
3 53 389
3 54 274
3 55 478
3 56 184
3 57 486
3 58 268
3 59 574
3 60 562
3 61 233
3 62 266
3 63 275
3 64 493
3 65 263
3 66 111
3 67 207
3 68 167
3 69 499
3 70 60
3 71 197
3 72 30
3 73 429
3 74 245
3 75 278
3 76 201
3 77 467
3 78 399
3 79 346
3 80 280
3 81 586
3 82 608
3 83 551
3 84 41
3 85 364
3 86 226
3 87 507
3 88 330
3 89 210
3 90 410
3 91 282
3 92 381
3 93 209
3 94 267
3 95 581
3 96 469
3 97 247
3 98 304
3 99 201
3 100 314
4 5 100
4 6 323
4 7 297
4 8 404
4 9 477
4 10 298
4 11 296
4 12 140
4 13 299
4 14 240
4 15 387
4 16 229
4 17 169
4 18 183
4 19 468
4 20 134
4 21 114
4 22 66
4 23 488
4 24 301
4 25 50
4 26 125
4 27 406
4 28 79
4 29 151
4 30 427
4 31 100
4 32 338
4 33 150
4 34 132
4 35 485
4 36 146
4 37 56
4 38 352
4 39 442
4 40 418
4 41 327
4 42 425
4 43 236
4 44 122
4 45 42
4 46 374
4 47 175
4 48 64
4 49 101
4 50 151
4 51 352
4 52 276
4 53 244
4 54 389
4 55 40
4 56 491
4 57 183
4 58 347
4 59 241
4 60 179
4 61 237
4 62 442
4 63 281
4 64 65
4 65 514
4 66 409
4 67 513
4 68 447
4 69 159
4 70 433
4 71 485
4 72 436
4 73 120
4 74 211
4 75 355
4 76 278
4 77 140
4 78 103
4 79 295
4 80 284
4 81 149
4 82 175
4 83 113
4 84 415
4 85 233
4 86 293
4 87 56
4 88 125
4 89 566
4 90 48
4 91 199
4 92 196
4 93 407
4 94 370
4 95 252
4 96 195
4 97 280
4 98 182
4 99 279
4 100 166
5 6 423
5 7 326
5 8 501
5 9 536
5 10 387
5 11 396
5 12 219
5 13 341
5 14 306
5 15 479
5 16 292
5 17 268
5 18 152
5 19 539
5 20 113
5 21 187
5 22 144
5 23 537
5 24 374
5 25 120
5 26 25
5 27 492
5 28 32
5 29 71
5 30 527
5 31 59
5 32 418
5 33 249
5 34 57
5 35 569
5 36 197
5 37 47
5 38 443
5 39 496
5 40 514
5 41 425
5 42 523
5 43 298
5 44 184
5 45 120
5 46 462
5 47 275
5 48 151
5 49 131
5 50 127
5 51 452
5 52 326
5 53 261
5 54 489
5 55 65
5 56 554
5 57 155
5 58 394
5 59 287
5 60 213
5 61 313
5 62 489
5 63 332
5 64 122
5 65 565
5 66 505
5 67 612
5 68 546
5 69 122
5 70 525
5 71 545
5 72 520
5 73 210
5 74 301
5 75 399
5 76 375
5 77 125
5 78 201
5 79 392
5 80 333
5 81 144
5 82 74
5 83 122
5 84 502
5 85 260
5 86 392
5 87 85
5 88 219
5 89 664
5 90 134
5 91 268
5 92 292
5 93 464
5 94 471
5 95 297
5 96 272
5 97 380
5 98 247
5 99 376
5 100 266
6 7 393
6 8 107
6 9 394
6 10 189
6 11 52
6 12 247
6 13 357
6 14 263
6 15 151
6 16 276
6 17 171
6 18 444
6 19 332
6 20 408
6 21 272
6 22 302
6 23 439
6 24 239
6 25 314
6 26 448
6 27 213
6 28 401
6 29 469
6 30 104
6 31 413
6 32 213
6 33 180
6 34 445
6 35 277
6 36 310
6 37 377
6 38 150
6 39 387
6 40 137
6 41 55
6 42 120
6 43 280
6 44 310
6 45 315
6 46 182
6 47 148
6 48 287
6 49 346
6 50 419
6 51 56
6 52 358
6 53 399
6 54 79
6 55 360
6 56 385
6 57 440
6 58 364
6 59 358
6 60 365
6 61 225
6 62 418
6 63 324
6 64 332
6 65 452
6 66 133
6 67 194
6 68 135
6 69 436
6 70 182
6 71 392
6 72 239
6 73 244
6 74 164
6 75 377
6 76 86
6 77 404
6 78 230
6 79 110
6 80 331
6 81 413
6 82 498
6 83 383
6 84 203
6 85 372
6 86 39
6 87 359
6 88 214
6 89 252
6 90 295
6 91 256
6 92 170
6 93 355
6 94 60
6 95 363
6 96 255
6 97 43
6 98 269
6 99 85
6 100 157
7 8 397
7 9 236
7 10 499
7 11 407
7 12 194
7 13 44
7 14 130
7 15 331
7 16 118
7 17 359
7 18 201
7 19 273
7 20 217
7 21 199
7 22 353
7 23 220
7 24 172
7 25 247
7 26 343
7 27 297
7 28 337
7 29 397
7 30 465
7 31 372
7 32 225
7 33 337
7 34 290
7 35 348
7 36 153
7 37 296
7 38 295
7 39 191
7 40 387
7 41 353
7 42 421
7 43 113
7 44 409
7 45 335
7 46 288
7 47 310
7 48 341
7 49 202
7 50 208
7 51 448
7 52 556
7 53 70
7 54 471
7 55 288
7 56 262
7 57 195
7 58 87
7 59 527
7 60 474
7 61 168
7 62 171
7 63 72
7 64 362
7 65 249
7 66 377
7 67 510
7 68 445
7 69 223
7 70 364
7 71 248
7 72 313
7 73 370
7 74 235
7 75 85
7 76 307
7 77 204
7 78 331
7 79 448
7 80 66
7 81 443
7 82 362
7 83 408
7 84 318
7 85 66
7 86 354
7 87 350
7 88 246
7 89 537
7 90 255
7 91 147
7 92 395
7 93 169
7 94 453
7 95 537
7 96 449
7 97 360
7 98 145
7 99 308
7 100 300
8 9 334
8 10 294
8 11 160
8 12 299
8 13 355
8 14 276
8 15 77
8 16 293
8 17 270
8 18 494
8 19 260
8 20 465
8 21 329
8 22 394
8 23 387
8 24 226
8 25 384
8 26 527
8 27 141
8 28 483
8 29 554
8 30 80
8 31 500
8 32 179
8 33 275
8 34 514
8 35 185
8 36 354
8 37 454
8 38 104
8 39 339
8 40 32
8 41 77
8 42 24
8 43 295
8 44 410
8 45 403
8 46 123
8 47 233
8 48 378
8 49 404
8 50 473
8 51 138
8 52 466
8 53 422
8 54 129
